trial,lang,vocab_size,num_epochs,max_len,life,memory_in,memory_out,update_rate,vocab_actual,bpc_3gram,train_time_s
1,en,50000,10000,12,10,0.25,0.0001,0.2,49988,1.838555,412.0
2,en,50000,100000,16,5,0.2,0.001,0.3,11241,1.865294,1300.0
3,en,50000,100000,12,50,0.2,0.001,0.1,10947,1.85141,1179.0
4,en,50000,200000,10,20,0.1,1e-05,0.4,49999,1.856787,8189.5
5,en,50000,50000,20,100,0.1,0.0001,0.05,45043,1.836517,1859.0
6,en,50000,10000,25,20,0.25,0.001,0.05,13219,1.85609,164.1
7,en,50000,50000,16,20,0.4,0.005,0.1,4531,1.907638,412.0
8,en,50000,200000,16,50,0.75,0.001,0.2,23898,1.843652,8827.2
9,en,50000,10000,20,5,0.05,0.005,0.3,1054,2.146764,17.7
10,en,50000,10000,20,50,0.75,0.0001,0.1,49995,1.836755,536.7
11,en,50000,50000,25,5,0.1,0.001,0.1,6791,1.875789,295.2
12,en,50000,25000,10,100,0.25,1e-05,0.05,49999,1.841914,740.8
13,en,50000,50000,20,50,0.05,0.0001,0.4,25046,1.858002,834.7
14,en,50000,50000,25,5,0.4,0.0001,0.4,49988,1.854966,2688.0
15,en,50000,25000,20,100,0.4,0.0001,0.3,49995,1.857574,1301.9
16,en,50000,10000,20,50,0.2,0.001,0.1,11571,1.854713,127.4
17,en,50000,50000,10,10,0.75,5e-05,0.05,49997,1.836715,3637.9
18,en,50000,200000,25,20,0.25,1e-05,0.05,49999,1.837339,14618.6
19,en,50000,25000,10,5,0.75,1e-05,0.5,49999,1.859585,1865.0
20,en,50000,200000,25,50,0.75,0.005,0.4,6979,1.892468,2961.8
21,en,50000,50000,20,10,0.75,5e-05,0.5,49997,1.854213,2547.2
22,en,50000,200000,16,100,0.2,0.0005,0.3,20537,1.856134,4599.1
23,en,50000,50000,8,20,0.4,1e-05,0.3,49999,1.86526,1467.1
24,en,50000,200000,25,20,0.75,5e-05,0.1,49997,1.834607,9600.1
25,en,50000,10000,25,20,0.05,0.005,0.1,1076,2.101364,17.4
26,en,50000,50000,10,20,0.25,1e-05,0.05,49999,1.842557,1567.2
27,en,50000,25000,25,10,0.05,0.001,0.5,4488,1.931029,81.6
28,en,50000,200000,20,5,0.05,1e-05,0.5,49999,1.85859,5527.8
29,en,50000,25000,20,100,0.05,0.0005,0.05,7002,1.881439,128.5
30,en,50000,50000,8,5,0.4,1e-05,0.1,49999,1.848909,1455.2
